Play,Year_of_creation,Num_of_segments,Num_of_acts,Female_part,Male_part,Female_words,Male_words,Mean_len_fem_re,Mean_len_male_re,Max_weight,Max_degree,Density,Num_of_char,Chars_with_max_degree,Average_clust_coef,Genre
shakhovskoy-urok-koketkam,1815,35,5,0.3,0.7,0.36,0.64,14.55,11.27,16,10,0.98,11,Knjazhna|Sasha|Ugarov|Semen|Grafinja|Baron|Olgin|Knjaz|Pronskij,0.98,comedy
sukhovo-kobylin-delo,1861,45,5,0.12,0.88,0.16,0.84,18.94,13.38,11,17,0.39,20,Tarelkin,0.82,drama
sukhovo-kobylin-smert-tarelkina,1869,41,3,0.06,0.94,0.05,0.95,9.59,12.04,12,17,0.31,24,Raspljuev,0.85,comedy
sukhovo-kobylin-svadba-krechinskogo,1856,41,3,0.25,0.75,0.18,0.82,9.89,15.67,13,9,0.6,11,Krechinskij|Muromskij,0.78,comedy
sumarokov-dimitrij-samozvanets,1771,36,5,0.2,0.8,0.21,0.79,29.54,27.72,9,5,0.73,6,Dimitrij,0.77,tragedy
sumarokov-horev,1747,27,5,0.35,0.65,0.39,0.61,44.07,37.9,4,11,0.38,12,kij,0.78,tragedy
sumarokov-semira,1751,39,5,0.42,0.58,0.41,0.59,33.11,33.53,7,8,0.4,10,semira,0.69,tragedy
tolstoy-smert-ioanna-groznogo,1866,53,5,None,None,None,None,0,None,9,30,0.14,69,BorisGodunov,0.81,tragedy
tolstoy-tsar-boris,1870,14,5,0.14,0.86,0.16,0.84,20.25,17.86,8,58,0.21,102,vasilij_shujskij,0.96,tragedy
tolstoy-tsar-fedor-ioannovich,1868,11,5,0.14,0.86,0.12,0.88,14.19,16.9,6,67,0.36,78,ivan_petrovich_shujskij,0.89,tragedy
tolstoy-vlast-tmy,1887,101,8,0.56,0.44,0.55,0.45,13.17,14.11,18,14,0.25,24,Matrena,0.73,drama
turgenev-gde-tonko-tam-i-rvetsja,1848,21,0,0.4,0.6,0.29,0.71,12.39,19.6,8,8,0.64,10,Vera|MademoiselleBienaime|Gorskij,0.77,comedy
turgenev-holostjak,1849,3,0,0.15,0.85,0.14,0.86,19.42,21.18,3,11,0.73,12,Moshkin|Masha,0.87,comedy
turgenev-nahlebnik,1857,2,2,0.16,0.84,0.13,0.87,12.12,16.4,2,13,1.0,14,None,1.0,comedy
turgenev-neostorozhnost,1843,4,0,0.42,0.58,0.32,0.68,16.31,25.08,3,5,0.73,6,DonPablo,0.77,other
turgenev-provintsialka,1851,25,0,0.4,0.6,0.41,0.59,15.23,14.42,13,6,0.81,7,Stupendev|DarjaIvanovna,0.92,comedy
turgenev-razgovor-na-bolshoj-doroge,1851,2,0,0.0,1.0,0.0,1.0,0,20.4,1,2,1.0,3,None,1.0,other
turgenev-vecher-v-sorrente,1852,15,0,0.45,0.55,0.32,0.68,10.77,18.19,5,5,0.48,7,Avakov,0.52,other
turgenev-zavtrak-u-predvoditelja,1849,11,0,0.18,0.82,0.2,0.8,14.73,13.17,9,11,0.85,12,Mirvolin|Suslov|Balagalaev|Kaurova,0.91,comedy
