"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density";"file";"author"
"111";"Jat";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"112";"Mozgovoj";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"113";"NastasjaTimofeevna";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"114";"Njunin";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"115";"Dashenka";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"116";"Revunov";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"117";"Shafer";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"118";"Dymba";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"119";"Zhigalov";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"120";"Zmejukina";0;0,0769230769230769;13;13;13;1;"Chehov_Svadba.csv";"Chehov"
"121";"Damavchernom";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"122";"Kokoshkin";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"123";"Kto-to";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"124";"Damy";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"125";"Kotelnikov";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"126";"Komik";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"127";"Kuzma";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"128";"Ofitseriztolpy";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"129";"Student";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"130";"O.Aleksej";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"131";"Djakon";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"132";"Matveev";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"133";"O.Ivan";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"134";"Olenina";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"135";"Djachok";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"136";"Molodojakter";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"137";"O.Nikolaj";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"138";"Baryshnja";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"139";"Sabinin";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"140";"Arhierejskijhor";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"141";"Kokoshkina";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"142";"Sobornyjhor";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"143";"Hor";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"144";"Patronnikov";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"145";"Tovarischprokurora";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"146";"Volgin";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"147";"Vtolpe";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"148";"Zonenshtejn";0;0,037037037037037;27;27;27;1;"Chehov_Tatjana_Repina.csv";"Chehov"
"149";"Murashkin";0;1;1;1;1;1;"Chehov_Tragik_ponevole.csv";"Chehov"
"150";"Tolkachov";0;1;1;1;1;1;"Chehov_Tragik_ponevole.csv";"Chehov"
"151";"Solenyj";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"152";"Ferapont";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"153";"Andrej";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"154";"Anfisa";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
"155";"Natasha";0;0,0769230769230769;51;13;13;1;"Chehov_Tri_sestry.csv";"Chehov"
